V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q4,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Diversity @ TACC Answer 3 short questions and help make the world a better place! TACC is com...,What is your gender? (click on your gender to select),Race and Ethnicity (click on as many as apply)-Asian,Race and Ethnicity (click on as many as apply)-Black,Race and Ethnicity (click on as many as apply)-Hispanic,Race and Ethnicity (click on as many as apply)-White,Race and Ethnicity (click on as many as apply)-Other,What team are you on at TACC?-Team,LocationLatitude,LocationLongitude,LocationAccuracy
R_UDtNLccwR0Iiiat,Default Response Set,Anonymous,,,removed,0,7/2/15 12:53,7/2/15 12:53,1,1,Male,,,,White,,Strategic Initiatives,removed,removed,removed
R_2rimaDxMbTWsPDz,Default Response Set,Anonymous,,,removed,0,7/2/15 12:57,7/2/15 12:59,1,1,Female,,,,White,,TACC Leadership Team (LT),removed,removed,removed
R_b2EcSfMcpo6sxgt,Default Response Set,Anonymous,,,removed,0,7/2/15 13:09,7/2/15 13:11,1,1,Female,,,,White,,Industrial Programs,removed,removed,removed
R_2rDypdknDMeoXQt,Default Response Set,Anonymous,,,removed,0,7/2/15 13:58,7/2/15 13:58,1,1,Female,,,Hispanic,,,Education and Outreach,removed,removed,removed
R_216WXY0f7fvA4Pc,Default Response Set,Anonymous,,,removed,0,7/2/15 14:42,7/2/15 14:45,1,1,Female,,,,White,Other,Portal and Gateway Infrastructure,removed,removed,removed
R_qF4jGb9GWGbK5b3,Default Response Set,Anonymous,,,removed,0,7/28/15 16:17,7/28/15 16:18,1,1,Male,,,,White,,Technology Infrastructure,removed,removed,removed
R_1GQEiakYUoyubYR,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:18,1,1,Male,Asian,,,,,Visualization Interfaces and Applications,removed,removed,removed
R_2fdMCBk02oxcBVs,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:18,1,1,Female,Asian,,,,,Life Sciences Computing,removed,removed,removed
R_29g0tZvOrAgIIfW,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:19,1,1,Male,,,,White,,Life Sciences Computing,removed,removed,removed
R_3D1O8EEOIc6ENPp,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:19,1,1,Male,,,,White,,Web and Mobile Applications,removed,removed,removed
R_1gvYV5MqHtvXyom,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:19,1,1,Male,,,,White,,TACC Leadership Team (LT),removed,removed,removed
R_30o5dbnit3e7u1S,Default Response Set,Anonymous,,,removed,0,7/28/15 16:19,7/28/15 16:19,1,1,Male,,,,White,,Data Management and Collections,removed,removed,removed
R_UGVT2K2cOXw5Wmd,Default Response Set,Anonymous,,,removed,0,7/28/15 16:18,7/28/15 16:19,1,1,Female,Asian,,,,,Administrative Support,removed,removed,removed
